Run,Pool,User,Experiment,Chemistry,Yield,Cluster Density,Pass filter,Q30
170111_NB501821_0001_AHCF2VBGX2,539,AP,ABC-Bio,High300,88.7,251,78.0651,92.1
170227_NB501821_0002_AHJN2LAFXX,542,WD,Fusion,Mid300,38.5,158,95,82.2
170310_NB501821_0003_AHCF7WBGX2,552,AP,Avenio,High300,120.9,187,80.76,80
170323_NB501821_0004_AHFL3FBGX2,563,AP,Avenio,High300,138.2,212,82,86.7
170426_NB501821_0005_AHL5F5AFXX,575,AP,WGS,Mid150,27.8,242,91,92.7
170504_NB501821_0006_AHKWNGAFX,577,ET,GSIC,Mid150,23.5,197,94,93.2
170512_NB501821_0007_AHT77KBGX2,596,WD,Fusion,High300,105.65,140,96.42,92.02
170524_NB501821_0008_AHL5J3AFXX,575,AP,WGS,Mid150,23.9,196,93,93.5
170526_NB501821_0009_AHTHCLBGX2,597,WD,Fusion,High300,134.54,184,93.17,89.2
170530_NB501821_0010_AHTJ7VBGX2,598,WD,Fusion,High300,120.09,160,84.85,90.55
170604_NB501821_0011_AHN3TNBGX2,612,WD,GI,High300,161.15,220,93.67,86.99
170606_NB501821_0012_AHNC5FBGX2,614,WD,GI,High300,160.23,216,93.31,85.35
170706_NB501821_0013_AHT5GFBGX2,629,SD,GI,High300,82.3,130,91,84.23
170710_NB501821_0014_AH7CMHBGX3,628,AP,Avenio,High300,104.1,150,88.48,89
170714_NB501821_0015_AH5NCLBGX3,630,TJ,GSIC,High300,147.4,198,95,87.8
170717_NB501821_0016_AHL5NYAFXX,635,ET,GSIC,Mid150,24.8,201,94,92.8
170830_NB501821_0017_AHLKCHAFXX,654,ET,GSIC,Mid150,23.44,180,92.42,92.55
170908_NB501821_0018_AHLGTWAFXX,671,TJ,GI,Mid150,22.4,175,90.2,90.4
171011_NB501821_0019_AHLFMCAFXX,697,EK,Paed,Mid150,15.5,119.25,94.22,94.4
171025_NB501821_0022_AHV5F2AFXX,699,SD,GSIC,Mid150,31.02,238,91.7,93.37
171026_NB501821_0023_AHV7C3AFXX,686,TJ,ABC-Bio,Mid150,30.6,240,91.4,92.1
171031_NB501057_0017_AH73CNBGX3,704,AP,Avenio,High300,119.7,190,80.8,78.6
171101_NB501821_0024_AHV7GTAFXX,686,AP,ABC-Bio,Mid150,26.2,200,94.4,93.4
171102_NB501821_0025_AHVFGKAFXX,699,TJ,GI,Mid150,28.8,221,91.9,91.9
171103_NB501821_0026_AHV73JAFXX,705,EK,Paed,Mid150,25.45,190.5,94.11,94.4
171111_NB501821_0027_AHV73NAFXX,687,AP,ABC-Bio,Mid150,29.8,221,93.47,92.8
171121_NB501821_0028_AHVFWTAFXX,715,EK,Paed,Mid150,19.13,140,96.14,96
171206_NB501821_0029_AHVJHWAFXX,722,ET,GSIC,Mid150,31.04,240,90,92.15
171207_NB501821_0030_AHVJHCAFXX,721,AP,GSIC ,Mid300,48.1,201,91,84.9
171208_NB501821_0031_AH72KCBGX3,726,AP,Avenio,High300,83.3,132,82.3,91.8
171212_NB501821_0032_AHVGYMAFXX,725A,TJ,GI,Mid150,27.3,222,92,92.5
171213_NB501821_0033_AHVY55AFXX,731,EK,Paed,Mid150,32.23,248,91.6,92.6
171214_NB501821_0034_AH5JVNBGX3,726rpt,AP,Avenio,High300,89.8,196,89.2,88.4
171228_NB501821_0035_AHVYFCAFXX,683,AP,ABC-Bio,Mid150,28.6,210,92.8,93
171229_NB501821_0036_AHVYFVAFXX ,688,AP,ABC-Bio,Mid150,29.8,239,90.8,91.8
180102_NB501821_0037_AHW7LTAFXX ,689,AP,ABC-Bio,Mid150,27.5,212,92.5,92.9
180117_NB501821_0038_AHW7LYAFXX,684,AP,ABC-Bio,Mid150,26,217,91.58,94.1
180118_NB501821_0039_AHWCFFAFXX,690,AP,ABC-Bio,Mid150,28.5,217,93,92.9
180126_NB501821_0041_AHWKFTAFXX,676,AP,ABC-Bio,Mid150,29.5,232,91,92.2
180207_NB501821_0042_AH2HNYBGX5,ICR_017,WD,Fusion,High300,39.02,51,96.86,92.01
180214_NB501821_0043_AHTGYVBGX3,ICR_018,WD,Fusion,High300,190.94,268.25,89.87,83.18
180223_NB501821_0046_AH5KWTBGX3,763,AP,Avenio,High300,131.8,225,75.5,83.7
180226_NB501821_0047_AH5KYMBGX3 ,764,AP,Avenio,High300,145.5,208,89,85.8
180228_NB501821_0048_AH7NGJBGX3 ,765,AP,Avenio,High300,132.4,190,89,87.7