"","Run","Pool","User","Experiment","Chemistry","Yield","ClusterDensity","PassFilter","Q30"
"1","170111_NGS_0001",539,"JB","Capture","High300",88.7,251,78.0651,92.1
"2","170227_NGS_0002",542,"WD","RNA","Mid300",38.5,158,95,82.2
"3","170310_NGS_0003",552,"JB","CT","High300",120.9,187,80.76,80
"4","170323_NGS_0004",563,"JB","CT","High300",138.2,212,82,86.7
"5","170426_NGS_0005",575,"JB","WGS","Mid150",27.8,242,91,92.7
"6","170504_NGS_0006",577,"ET","CT","Mid150",23.5,197,94,93.2
"7","170512_NGS_0007",596,"WD","RNA","High300",105.65,140,96.42,92.02
"8","170524_NGS_0008",575,"JB","WGS","Mid150",23.9,196,93,93.5
"9","170526_NGS_0009",597,"WD","RNA","High300",134.54,184,93.17,89.2
"10","170530_NGS_0010",598,"WD","RNA","High300",120.09,160,84.85,90.55
"11","170604_NGS_0011",612,"WD","Capture","High300",161.15,220,93.67,86.99
"12","170606_NGS_0012",614,"WD","Capture","High300",160.23,216,93.31,85.35
"13","170706_NGS_0013",629,"SD","Capture","High300",82.3,130,91,84.23
"14","170710_NGS_0014",628,"JB","CT","High300",104.1,150,88.48,89
"15","170714_NGS_0015",630,"TJ","CT","High300",147.4,198,95,87.8
"16","170717_NGS_0016",635,"ET","CT","Mid300",24.8,201,94,92.8
"17","170830_NGS_0017",654,"ET","CT","Mid300",23.44,180,92.42,92.55
"18","170908_NGS_0018",671,"TJ","Capture","Mid150",22.4,175,90.2,90.4
"19","171011_NGS_0019",697,"EK","Capture","Mid150",15.5,119.25,94.22,94.4
"20","171031_NGS_0021",704,"JB","CT","High300",119.7,190,80.8,78.6
"21","171025_NGS_0022","699","SD","CT","Mid150",31.02,238,91.7,93.37
"22","171026_NGS_0023",684,"TJ","Capture","Mid150",30.6,240,91.4,92.1
"23","171101_NGS_0024",686,"JB","WGS","Mid150",26.2,200,94.4,93.4
"24","171102_NGS_0025",699,"TJ","Capture","Mid150",28.8,221,91.9,91.9
"25","171103_NGS_0026",705,"EK","Capture","Mid150",25.45,190.5,94.11,94.4
"26","171111_NGS_0027",687,"JB","Capture","Mid150",29.8,221,93.47,92.8
"27","171121_NGS_0028",715,"EK","Capture","Mid150",19.13,140,96.14,96
"28","171206_NGS_0029",722,"ET","CT","Mid300",31.04,240,90,92.15
"30","171207_NGS_0030",721,"JB","CT","Mid300",48.1,201,91,84.9
"31","171208_NGS_0031",726,"JB","CT","High300",83.3,132,82.3,91.8
"32","171212_NGS_0032",725A,"TJ","Capture","Mid150",27.3,222,92,92.5
"33","171213_NGS_0033",731,"EK","Capture","Mid150",32.23,248,91.6,92.6
"34","171214_NGS_0034",727,"JB","CT","High300",89.8,196,89.2,88.4
"35","171228_NGS_0035",683,"JB","Capture","Mid150",28.6,210,92.8,93
"36","171229_NGS_0036",688,"JB","Capture","Mid150",29.8,239,90.8,91.8
"37","180102_NGS_0037",689,"JB","Capture","Mid150",27.5,212,92.5,92.9
"38","180117_NGS_0038",684,"JB","Capture","Mid150",26,217,91.58,94.1
"39","180118_NGS_0039",690,"JB","Capture","Mid150",28.5,217,93,92.9
"40","180126_NGS_0041",676,"JB","Capture","Mid150",29.5,232,91,92.2
"41","180207_NGS_0042",691,"WD","RNA","High300",39.02,51,96.86,92.01
"42","180214_NGS_0043",692,"WD","RNA","High300",90.94,268,89.87,83.18
"43","180223_NGS_0046",763,"JB","CT","High300",131.8,225,75.5,83.7
"44","180226_NGS_0047",764,"JB","CT","High300",145.5,208,89,85.8
"45","180228_NGS_0048",765,"JB","CT","High300",132.4,190,89,87.7